backers_count,usd_pledged,duration,staff_pick,state,start_backers_count,category_pos,usd_goal,start_usd_pledged_amount,completed_time,AT,AU,BE,CA,CH,DE,DK,ES,FR,GB,HK,IE,IT,JP,LU,MX,NL,NO,NZ,SE,SG,US,art,comics,crafts,dance,design,fashion,film & video,food,games,journalism,music,photography,publishing,technology,theater,launched_month
36,1180.8636284000004,1728000,0,1,26.0,4,359.04637349999996,813.04056577,0.3132175925925926,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
36,1180.8636284000004,1728000,0,1,26.0,4,359.04637349999996,813.04056577,0.3132175925925926,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
20,301.48131322,2592000,0,1,9.0,4,270.386828,147.36082126,0.208704475308642,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
20,301.48131322,2592000,0,1,9.0,4,270.386828,147.36082126,0.208704475308642,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
36,878.0,2592000,0,1,20.0,4,700.0,428.0,0.20516435185185186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
36,878.0,2592000,0,1,20.0,4,700.0,428.0,0.20516435185185186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
122,5563.0,4257680,0,1,101.0,4,1000.0,4475.0,0.5468658987993461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
122,5563.0,4257680,0,1,101.0,4,1000.0,4475.0,0.5468658987993461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
390,19580.0,1728000,0,1,265.0,4,1500.0,12940.0,0.7523391203703703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
390,19580.0,1728000,0,1,264.0,4,1500.0,12817.0,0.7523391203703703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
4,107.0,1555200,0,1,4.0,4,100.0,107.0,0.8207458847736625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
4,107.0,1555200,0,1,4.0,4,100.0,107.0,0.8207458847736625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
77,3209.0,5184000,0,1,37.0,4,3000.0,1422.0,0.6905844907407407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
77,3209.0,5184000,0,1,37.0,4,3000.0,1422.0,0.6905844907407407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
14,2017.73865239,5184000,0,1,13.0,3,1768.911735,1805.46924419,0.9437654320987654,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
14,2017.73865239,5184000,0,1,13.0,3,1768.911735,1805.46924419,0.9437654320987654,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
112,349.0,2592000,0,1,113.0,3,100.0,351.0,0.5401442901234568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
112,349.0,2592000,0,1,113.0,3,100.0,351.0,0.5401442901234568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
7,270.27027000000004,2624706,0,1,8.0,3,135.13513500000002,291.8918916,0.34166340915896865,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7,270.27027000000004,2624706,0,1,8.0,3,135.13513500000002,291.8918916,0.34166340915896865,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
15,380.0,3565868,0,1,7.0,3,350.0,164.0,0.17115832666828945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
15,380.0,3565868,0,1,7.0,3,350.0,164.0,0.17115832666828945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
20,517.0,3888000,0,1,18.0,6,400.0,446.0,0.9508616255144032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
20,517.0,3888000,0,1,18.0,6,400.0,446.0,0.9508616255144032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
19,853.0,2592000,0,1,17.0,6,500.0,812.0,0.8092445987654321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
19,853.0,2592000,0,1,17.0,6,500.0,812.0,0.8092445987654321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
33,1638.8375064000004,2592000,0,1,25.0,6,388.35012,1149.5163552,0.7064753086419753,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
33,1638.8375064000004,2592000,0,1,25.0,6,388.35012,1149.5163552,0.7064753086419753,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
20,351.83334694,2592000,0,1,20.0,6,267.553876,351.83334694,0.4852739197530864,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
20,351.83334694,2592000,0,1,20.0,6,267.553876,351.83334694,0.4852739197530864,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
25,234.94372718,2592000,0,1,17.0,6,35.489989,278.95131354,0.4154224537037037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
25,234.94372718,2592000,0,1,17.0,6,35.489989,278.95131354,0.4154224537037037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
24,1506.0,2592000,0,1,6.0,6,1500.0,348.0,0.3358912037037037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
24,1506.0,2592000,0,1,6.0,6,1500.0,348.0,0.3358912037037037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
32,1813.0,2592000,0,1,15.0,6,1000.0,915.0,0.09967592592592593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
32,1813.0,2592000,0,1,15.0,6,1000.0,915.0,0.09967592592592593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
